字段名,所属层面,计算位置,存储位置,主流程使用,旧版链路使用,静态HTML使用,维度分类,删除影响评估,建议
panel_score(),legacy,modules/rank/ranking.py L84定义,无,是(自选榜调用'自选算法榜单'分支),是(稳涨/强趋势/ETF/抗跌/开仓分支),否,评分,面板特定综合分分发器; 主流程只用'自选算法榜单'分支; 稳涨/强趋势/ETF/开仓分支仅旧版build_ranks使用,需确认
composite_score(),legacy,modules/score/scoring.py L322定义; collector/scoring.py re-export,无,否(rank_full不调用composite_score),是(panel_score稳涨/强趋势/ETF分支; recompute_ranks L102),否,评分,"旧版综合分(趋势40+支撑30+稳健20+平衡10); 仅panel_score的稳涨/强趋势/ETF分支调用,而这些面板在rank_full中已不存在; 纯旧版死代码",删除
is_candidate(),legacy,modules/rank/recommendation.py L362定义,无,否(rank_full不调用is_candidate),是(build_ranks L238趋势候选筛选),否,形态,形态候选筛选(稳涨/连涨/强趋势任一); 仅build_ranks使用; rank_full的超跌筑底/攻防榜有自己独立的筛选逻辑; up7仅在此函数和reco_score/composite_score中使用,删除
up_cap,compare,anti_detail._calc_merge计算上涨捕获率(短名),无DB列; compare L155映射为up_capture,是(compare内部),否,否,风险,"_calc_merge返回的短名; compare L155-157映射up_cap→up_capture, dn_cap→dn_capture; 中间变量",合并
dn_cap,compare,anti_detail._calc_merge计算下跌捕获率(短名),无DB列; compare L157映射为dn_capture,是(compare内部),否,否,风险,"同up_cap, 中间短名变量",合并
r1m,compare,compare L166: st['r1m']=cm.get('m1'),无DB列; compare内部stats,是(compare内部),否,否,收益,compare内部别名r1m=m1(近1月收益); fund_detail也使用; 不写入meta/DB,合并
r2w,compare,compare L167: st['r2w']=cm.get('d10'),无DB列; compare内部stats,是(compare内部),否,否,收益,compare内部别名r2w=d10(近2周); 不写入meta/DB,合并
r5d,compare,compare L168: st['r5d']=cm.get('d5'),无DB列; compare内部stats,是(compare内部),否,否,收益,compare内部别名r5d=d5(近5日); 不写入meta/DB,合并
pl_txt,compare,anti_detail._calc_merge计算盈亏比文本,无DB列; compare L159注入stats,是(compare内部),否,否,风险,"盈亏比文本描述; compare内部使用, 不写入meta/DB",保留
repair_tag,compare,anti_detail._calc_merge计算修复标签,无DB列; compare L161/L173注入,是(compare内部+rs),否,否,风险,大跌后修复标签; compare内部使用,保留
dn_ratio(compare),compare,compare L164: cm.get('dn_ratio'); L192: f.get('dn_ratio')从funds表,无funds列! rank_full meta已删除,否(funds表无dn_ratio列→L192恒None),否,否,风险,"compare L164从_calc_merge取(可能有值), L192从funds表取(无此列→恒None); rank_full meta不含此字段; 对比页面下跌天数占比可能展示异常",需确认
